cycle,chamber,district,party,candidate,canonical_candidate_id,person_id,incumbent,winner,candidate_cmo_total_oof,match_status,match_method,similarity,suggested_source_name,shor_u_id,shor_np_score,served_by_election,first_observed_service_year
1998,house,18,D,Morrow,AL-1998-house-18-D-MORROW,ALPERSON-MORROW,0,1,-3.328578618937364,matched,winner_or_incumbent_unique_surname,90.0,"Morrow, Johnny",AL1996L034,0.002,True,1996.0
1998,house,20,D,Wilburn,AL-1998-house-20-D-WILBURN,ALPERSON-WILBURN,0,0,-25.11921319834551,fuzzy_review,none,55.38461538461539,"Burdine, Greg",,,,
1998,house,21,D,Jones,AL-1998-house-21-D-JONES,ALPERSON-JONES,0,1,12.251374606907554,matched,winner_or_incumbent_unique_surname,90.0,"Jones, Patrick",AL1999L006,-0.197,False,1999.0
1998,house,22,D,Hall,AL-1998-house-22-D-HALL,ALPERSON-HALL,0,1,27.170576768011166,matched,election_year_roster_name,90.0,"Hall, Albert",AL1996L064,-0.066,True,1996.0
1998,house,23,D,Robinson,AL-1998-house-23-D-ROBINSON,ALPERSON-ROBINSON,0,1,7.486225462502823,matched,election_year_roster_name,90.0,"Robinson, John",AL1996L001,-0.169,True,1996.0
1998,house,24,D,Burke,AL-1998-house-24-D-BURKE,ALPERSON-BURKE,0,0,-6.882767477522146,matched,normalized_exact,100.0,Burke,AL1996L015,0.012,True,1996.0
1998,house,25,D,Hawk,AL-1998-house-25-D-HAWK,ALPERSON-HAWK,0,1,31.03110629640132,matched,winner_or_incumbent_unique_surname,90.0,"Hawk, Howard",AL1996L013,-0.213,True,1996.0
1998,house,26,D,McDaniel,AL-1998-house-26-D-MCDANIEL,ALPERSON-MCDANIEL,0,1,43.054959082657945,matched,winner_or_incumbent_unique_surname,95.0,"McDaniel, W.",AL1996L049,0.341,True,1996.0
1998,house,27,D,Murphree,AL-1998-house-27-D-MURPHREE,ALPERSON-MURPHREE,0,0,14.167333169194867,matched,normalized_exact,100.0,Murphee,AL1996L026,0.298,True,1996.0
1998,house,28,D,Ford,AL-1998-house-28-D-FORD,ALPERSON-FORD,0,1,19.1474046688832,matched,election_year_roster_name,90.0,"Ford, Joe",AL1996L040,-0.164,True,1996.0
1998,house,29,D,Page,AL-1998-house-29-D-PAGE,ALPERSON-PAGE,0,1,-12.610415797591235,matched,winner_or_incumbent_unique_surname,90.0,"Page, John III",AL1996L030,-0.308,True,1996.0
1998,house,30,D,Galliher,AL-1998-house-30-D-GALLIHER,ALPERSON-GALLIHER,0,1,8.312305519597864,matched,winner_or_incumbent_unique_surname,90.0,"Galliher, Blaine",AL1996L052,0.238,True,1996.0
1998,house,31,D,Venable,AL-1998-house-31-D-VENABLE,ALPERSON-VENABLE,0,1,32.40100571433042,matched,winner_or_incumbent_unique_surname,90.0,"Venable, Jack",AL1996L053,0.126,True,1996.0
1998,house,32,D,Boyd,AL-1998-house-32-D-BOYD,ALPERSON-BOYD,0,1,5.535940883568472,matched,winner_or_incumbent_unique_surname,90.0,"Boyd, Barbara",AL1996L072,-0.504,True,1996.0
1998,house,35,D,Hurst,AL-1998-house-35-D-HURST,ALPERSON-HURST,0,0,-23.35864933796401,fuzzy_review,none,90.0,"Hurst, Steve",,,,
1998,house,38,D,Fuller,AL-1998-house-38-D-FULLER,ALPERSON-FULLER,0,1,15.948296241110796,matched,winner_or_incumbent_unique_surname,90.0,"Fuller, William Jr.",AL1996L102,-0.098,True,1996.0
1998,house,42,D,Martin,AL-1998-house-42-D-MARTIN,ALPERSON-MARTIN,0,1,15.086784205630796,matched,winner_or_incumbent_unique_surname,90.0,"Martin, James",AL1999L007,0.007,False,1999.0
