votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
121447,Vaughn Goodwin,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,67%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/121447/vaughn-goodwin
121448,Kathy Goodwin,Business and Consumers,League of Southeastern Credit Unions,1991,5850,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1991/rating/5850,https://j.futurefacts.votesmart.io/candidate/evaluations/121448/kathy-goodwin
121452,Nathaniel Ledbetter,Business and Consumers,League of Southeastern Credit Unions,1991,7922,100%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1991/rating/7922,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Business and Consumers,League of Southeastern Credit Unions,1991,5850,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1991/rating/5850,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Business and Consumers,National Federation of Independent Business - Alabama,608,13405,100%,2019-2022,2019,2022,interest_group_rating,https://votesmart.org/interest-group/608/rating/13405,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Business and Consumers,National Federation of Independent Business - Alabama,608,12078,100%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,13784,62%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13784,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,13783,81%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13783,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,13079,63%,2020,2020,2020,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13079,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,10895,60%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10895,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,10896,55%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,10590,53%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,10589,60%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,10112,55%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10112,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,10128,49%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,9176,44%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Conservative,American Conservative Union (ACU),1481,9175,44%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Guns,LEAP Forward,2867,13052,21%,2021,2021,2021,interest_group_rating,https://votesmart.org/interest-group/2867/rating/13052,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Guns,National Rifle Association (NRA),1034,13506,92%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1034/rating/13506,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Guns,National Rifle Association (NRA),1034,12493,92%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1034/rating/12493,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,7257,86%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1557/rating/7257,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
121452,Nathaniel Ledbetter,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,75%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/121452/nathaniel-ledbetter
