rollcall_id,session,session_year,bill_type,bill_number,motion_type,count_valid,act_id,act_citation,act_number,title,act_match_count,act_link_status,analytical_eligibility
JRC-2BE828558BAF6708,1998_RegularSession,1998,HB,276.0,amendment_or_concurrence,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-EB570AA7B9642D30,1998_RegularSession,1998,HB,276.0,amendment_or_concurrence,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-5263B7B7D5358F6C,1998_RegularSession,1998,HB,276.0,other_recorded_motion,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-C59B107A16F3EACC,1998_RegularSession,1998,HB,276.0,other_recorded_motion,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-71651347B4061FE3,1998_RegularSession,1998,HB,276.0,amendment_or_concurrence,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-168D0B4E5210514A,1998_RegularSession,1998,HB,276.0,final_passage,True,ALACT-3E90DF74B2818D77,98-667,667.0,,1,unique_act_match,True
JRC-E996646E03880CFC,1998_RegularSession,1998,HB,278.0,budget_isolation_resolution,True,ALACT-13F4142EA71F2C4A,98-359,359.0,,1,unique_act_match,True
JRC-67D82BB50585CFBF,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-B11E8536DBFBC930,1998_RegularSession,1998,HB,278.0,final_passage,True,ALACT-13F4142EA71F2C4A,98-359,359.0,,1,unique_act_match,True
JRC-FEBEFA22B9DFAD40,1998_RegularSession,1998,HB,279.0,budget_isolation_resolution,True,ALACT-D276D7E8A9F20F41,98-542,542.0,,1,unique_act_match,True
JRC-1B20102EB58F788C,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-81FBF93B6AACD0AE,1998_RegularSession,1998,HB,279.0,final_passage,True,ALACT-D276D7E8A9F20F41,98-542,542.0,,1,unique_act_match,True
JRC-6329BC149EF0031F,1998_RegularSession,1998,HB,280.0,budget_isolation_resolution,True,ALACT-7DD449D92A11C1F3,98-539,539.0,,1,unique_act_match,True
JRC-7A64EAC2AE096DB3,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-2A8A97BC038ED5E8,1998_RegularSession,1998,HB,280.0,final_passage,True,ALACT-7DD449D92A11C1F3,98-539,539.0,,1,unique_act_match,True
JRC-2F6BD03199AB9326,1998_RegularSession,1998,HB,281.0,budget_isolation_resolution,True,ALACT-AE5804542B186536,98-540,540.0,,1,unique_act_match,True
JRC-74B05A6A731E9166,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-BFE912E7D67C45CA,1998_RegularSession,1998,HB,281.0,final_passage,True,ALACT-AE5804542B186536,98-540,540.0,,1,unique_act_match,True
JRC-718836967C818A1D,1998_RegularSession,1998,HB,282.0,budget_isolation_resolution,True,ALACT-CE78104D65F91105,98-541,541.0,,1,unique_act_match,True
JRC-DE4D20B2643B3DB8,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
