source_row_id,target_norm,match_method,match_score,score_margin
298,STEWARTVILLE CHURCH OF CHRIST,fuzzy,95.0,24.16666666666667
299,CENTRAL COMMUNITY CENTER,exact,100.0,100.0
300,ZIP CITY COMMUNITY CENTER,exact,100.0,100.0
301,ELGIN SENIOR CENTER,exact,100.0,100.0
302,ANDERSON TOWN HALL,exact,100.0,100.0
303,ROGERSVILLE SENIOR CENTER,exact,100.0,100.0
304,,unmatched,69.76744186046511,24.767441860465112
305,BLUE SPRINGS CITY HALL,exact,100.0,100.0
306,SPRINGHILL VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
307,CLAYTON COURTHOUSE,exact,100.0,100.0
308,MOUNT ANDREW COMMUNITY CENTER,exact,100.0,100.0
309,ELAMVILLE VOLUNTEER FIRE,fuzzy,95.0,13.309859154929569
310,CLIO CITY HALL,exact,100.0,100.0
311,,unmatched,85.5,0.0
312,LOUISVILLE CITY HALL,exact,100.0,100.0
313,BAKERHILL TOWN HALL,fuzzy,97.43589743589743,45.054945054945044
314,MOULTON CITY HALL 24 1,fuzzy,95.0,29.23076923076924
315,,unmatched,69.76744186046511,0.676532769556033
316,,unmatched,88.23529411764706,23.235294117647058
317,,unmatched,90.0,4.5
318,,unmatched,90.0,4.5
319,LINDSEY HALL CHURCH 31 1,fuzzy,95.0,9.5
320,PINE GROVE CHURCH 36 1,fuzzy,95.0,9.5
321,LAWRENCE HEALTH DEPARTMENT 19 1,fuzzy,95.0,31.0
322,,unmatched,91.30434782608697,5.804347826086968
323,,unmatched,85.5,6.4302325581395365
324,MOUNT MORIAH METHODIST,exact,100.0,100.0
325,,unmatched,90.0,43.96153846153846
326,,unmatched,85.5,0.0
327,,unmatched,90.0,22.941176470588232
328,LOOSIER CHURCH OF CHRIST 16 1,fuzzy,95.0,17.051282051282058
329,,unmatched,85.5,0.0
330,BOARD OF EDUCATION 25 1,fuzzy,95.0,9.5
331,MCCARLEY CENTER 6 1,fuzzy,95.0,9.5
332,,unmatched,39.46153846153846,5.261538461538457
333,,unmatched,85.5,0.0
334,NEW ZION BAPTIST,exact,100.0,100.0
335,FREEMAN TABERNACLE 26 1,fuzzy,95.0,50.0
336,CHALYBEATE FIRE DEPARTMENT 17 1,fuzzy,95.0,15.833333333333343
337,STRICKLAND KINGVILLE,exact,100.0,100.0
338,VERNON ARMORY WEST,exact,100.0,100.0
339,MOUNT PLEASANT CURRY,exact,100.0,100.0
340,,unmatched,87.27272727272728,17.27272727272728
341,SULLIGENT CITY HALL SOUTH,exact,100.0,100.0
342,FERNBANK COMMUNITY CENTER,exact,100.0,100.0
343,KENNEDY COMMUNITY CENTER,exact,100.0,100.0
344,SULLIGENT CITY HALL NORTH,exact,100.0,100.0
