cycle,chamber,district,baseline_low,baseline_high,baseline_mean,baseline_scenario_sd,baseline_range
2014,senate,5,-32.14759698350928,-31.666584363137297,-32.02760392163352,0.20399530483353123,0.48101262037198467
2014,senate,6,-21.657889578890117,-20.183557266350824,-20.478423728858683,0.659341454452465,1.4743323125392926
2014,senate,7,-28.58187638967747,-26.92769528975638,-27.258531509740596,0.7397722773037856,1.6541810999210895
2014,senate,8,-42.74874302241565,-39.17681540156157,-42.03435749824483,1.5974145941877658,3.5719276208540833
2014,senate,9,-56.4830977992696,-55.549634009331854,-56.29640504128205,0.41745769776707736,0.9334637899377469
2014,senate,10,-31.661218812429944,-31.425836461114308,-31.472912931377437,0.10526618764909978,0.23538235131563567
2014,senate,11,-44.831278022320745,-44.40418985209082,-44.48960748613681,0.19099963620402133,0.42708817022992207
2014,senate,12,-24.600282833447935,-22.973185891632426,-24.274863445084833,0.7276598735762996,1.627096941815509
2014,senate,13,-25.19309653646841,-25.126497190490888,-25.179776667272904,0.02978413297255349,0.06659934597752226
2014,senate,14,-42.267473103352444,-39.10826578100765,-39.74010724547661,1.4128404655556086,3.159207322344791
2014,senate,15,-34.757948974671635,-33.099988677066115,-34.42635691515053,0.741462385888345,1.6579602976055199
2014,senate,16,-24.698469146287007,-24.047389305106712,-24.568253178050945,0.2911717567317812,0.6510798411802945
2014,senate,17,-28.929474111750718,-27.14440618894274,-28.572460527189122,0.7983066439705975,1.785067922807979
2014,senate,18,13.180668262563955,13.202941231062498,13.198486637362787,0.009960774324690735,0.022272968498542767
2014,senate,19,15.425633003044709,16.292912471114477,16.11945657750052,0.3878591692187719,0.8672794680697677
2014,senate,20,14.814678822182568,15.718246692907568,15.537533118762568,0.4040878362451686,0.9035678707250003
2014,senate,21,-23.714125997276437,-23.299845822170365,-23.468552077445064,0.15731438852543567,0.4142801751060716
2014,senate,22,-36.79997530643368,-35.27138113265449,-35.57709996741033,0.6836080965160787,1.5285941737791902
2014,senate,23,22.62024790839599,25.11553158730446,24.616474851522764,1.1159247858370203,2.4952836789084714
2014,senate,24,16.770344749240536,17.939977962973497,17.520517366703732,0.4644831226801402,1.1696332137329613
2014,senate,25,-7.444482047623013,-6.137533135633192,-6.80194945972589,0.6041001165576003,1.3069489119898208
2014,senate,26,33.06666815809453,33.06666815809453,33.06666815809453,0.0,0.0
2014,senate,27,-21.112659572072968,-20.12948097586025,-20.916023852830424,0.4396908350308909,0.9831785962127171
2014,senate,28,17.61967533377364,18.021763751528507,17.700093017324612,0.1798194070130436,0.40208841775486803
2014,senate,29,-37.679960868627134,-36.679474665020685,-37.47986362790584,0.44743103236294374,1.0004862036064495
2014,senate,30,-36.03508791993982,-35.53653221034345,-35.7513451926735,0.21414955609796976,0.4985557095963671
2014,senate,31,-34.64903112086288,-34.64903112086288,-34.64903112086288,0.0,0.0
2014,senate,32,-59.3116822050784,-58.995037242175286,-59.05836623475591,0.14160793235685076,0.31664496290311206
2014,senate,33,0.7916926283291306,24.644178753646685,19.873681528583173,10.667156081716124,23.852486125317554
2014,senate,34,-34.6745009919305,-22.837853997984226,-32.30717159314124,5.293509460826482,11.836646993946275
2014,senate,35,-28.667249129230107,-17.38378831673637,-26.41055696673136,5.046117079638201,11.283460812493736
