state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,baseline_dem_votes,baseline_rep_votes,baseline_dem_margin,baseline_office,legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage,staging_reconciliation_gate,reconciliation_status,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,coverage_gate,model_eligible_permissive,model_eligible,baseline_allocation_quality,panel_source
TN,1998,house,58,4627.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"pruitt, mary",,2501.0,925.0,46.00116754232341,GOV,4627,3547,0.7665874216555003,True,exact,4627.0,0.0,100.0,53.99883245767659,1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,59,5556.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"jones, sherry s",,1987.0,2947.0,-19.456830158086746,GOV,5556,4525,0.814434845212383,True,exact,5556.0,0.0,100.0,119.45683015808675,1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,60,7412.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"west, ben, jr",,2276.0,4560.0,-33.411351667641895,GOV,7412,6624,0.8936859147328656,True,exact,7412.0,0.0,100.0,133.4113516676419,1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,61,0.0,15576.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"sargent, charles m, jr",3036.2594086021504,15036.747311827956,-66.40006330357971,GOV,15576,15576,1.0,True,exact,0.0,15576.0,-100.0,-33.599936696420286,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,62,5608.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"phillips, clarence (pete)",,2489.7972972972975,5514.810810810811,-37.790900849341845,GOV,5687,5569,0.9792509231580798,False,material_mismatch,5608.0,0.0,100.0,137.79090084934185,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,63,6044.0,5160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"williams, mike","sevier, kathryn",3107.316438231428,7982.566384784708,-43.96123948609359,GOV,11207,11207,1.0,True,within_one_percent,6044.0,5160.0,7.890039271688683,51.851278757782275,1.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,64,6889.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"sands, bobby",,2500.0,5937.0,-40.737228872822094,GOV,7094,6716,0.9467155342542994,False,material_mismatch,6889.0,0.0,100.0,140.7372288728221,1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,65,5604.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"fowlkes, joe",,2458.2027027027025,4269.189189189189,-26.91959254921891,GOV,5395,4852,0.89935125115848,False,material_mismatch,5604.0,0.0,100.0,126.9195925492189,1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,66,5548.0,4143.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"davidson, eugene (gene)","mobley, marie o",2465.424153166421,5213.686303387334,-35.788808687800575,GOV,9381,7916,0.8438332800341115,False,material_mismatch,5548.0,4143.0,14.497987823753999,50.28679651155457,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,67,7034.0,4082.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"mcmillan, kim a","wolfe, rod",2582.5557118927973,8235.205326633166,-52.253415421261735,GOV,11116,11116,1.0,True,exact,7034.0,4082.0,26.556315221302626,78.80973064256436,1.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
