specification,chamber,district,public_margin,ensemble_margin,change,winner_changed
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,4,-30.168234192443013,-34.25724372855562,-4.089009536112609,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,5,-42.22783247880138,-44.18225273616136,-1.9544202573599776,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,8,-27.045765902606977,-27.753565293302852,-0.7077993906958753,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,10,5.179921085962886,17.66429872063549,12.484377634672605,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,15,-13.49899760982322,-17.463921387029814,-3.964923777206593,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,16,-72.98027779212242,-73.2286272709106,-0.24834947878817104,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,19,36.191402249555054,49.23098902058122,13.039586771026165,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,20,-22.96397059610957,-25.128414670597248,-2.1644440744876796,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,21,-16.342279964211833,-19.733333249806407,-3.391053285594573,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,25,-2.465418547051442,-6.847358789048879,-4.381940241997437,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,28,-24.862708072052687,-26.28918109937642,-1.426473027323734,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,32,3.422618194788681,9.804841238244268,6.382223043455587,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,37,-42.52828814659968,-42.638162473267826,-0.10987432666814811,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,38,-40.851162777982296,-42.04653751334625,-1.1953747353639557,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,40,-59.91772109645968,-60.65432552889032,-0.7366044324306387,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,41,-44.01924227829869,-45.30882671566121,-1.289584437362521,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,43,-39.82294291486019,-43.43451057879673,-3.6115676639365404,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,45,-41.76377173462995,-43.800767450623376,-2.0369957159934273,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,47,-12.542237344054575,-17.144971659580403,-4.602734315525828,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,50,-56.83020958474616,-56.15770954367896,0.6725000410671953,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,63,-14.482754089763738,-18.779090487526595,-4.2963363977628575,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,68,4.266248801475497,17.688937465544644,13.422688664069147,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,69,13.2672920863345,27.123525991798697,13.856233905464197,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,70,42.14172683432893,55.33920075782402,13.197473923495089,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,74,32.583507459078504,35.82635933877661,3.242851879698108,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,75,-25.159556418806183,-29.78426388208302,-4.624707463276838,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,80,-31.56460879094611,-33.11823797423326,-1.5536291832871498,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,82,35.01674433891714,47.96177529780109,12.945030958883947,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,85,-24.32486910931324,-23.354550906857757,0.9703182024554842,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,96,-41.64407217615401,-43.24022829684304,-1.596156120689031,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,99,31.823403903944776,45.21539396782424,13.391990063879465,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,house,101,-26.52085457872553,-30.680704261046223,-4.159849682320694,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,2,1.365739626761889,0.34004072588902434,-1.0256989008728647,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,3,-37.71958219015087,-39.88885280125084,-2.169270611099975,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,6,-51.33435722894423,-51.73606791692332,-0.40171068797909015,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,7,-9.453156895869265,-13.673463465379115,-4.22030656950985,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,8,-51.84573512309653,-52.473460213953615,-0.6277250908570835,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,11,-48.05910770915243,-49.331422706264746,-1.2723149971123178,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,13,-48.03819977698762,-49.92154219282045,-1.8833424158328356,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,14,-41.55322693125855,-43.59282324983812,-2.0395963185795694,False
public_0.5+all_hybrid_composition__extra_trees__1_0.5,senate,16,-22.20548101233912,-25.843369044727908,-3.637888032388787,False
