finance_name_norm,finance_name,candidate_expenditures,expenditure_transactions,committee_count,cycle,finance_canonical
LAWRENCE CONAWAY,LAWRENCE CONAWAY,12105.91,33,1,2014,LAWRENCE CONAWAY
LAWRENCE MCADORY,LAWRENCE MCADORY,33259.68,56,1,2014,LAWRENCE MCADORY
LESA KEITH,LESA KEITH,8170.0,23,1,2014,LESA KEITH
LESLEY VANCE,LESLEY VANCE,202775.91,49,1,2014,LESLEY VANCE
LILES BURKE,LILES BURKE,2726.92,8,1,2014,LILES BURKE
LILLIE JONES OSBORNE,LILLIE JONES-OSBORNE,15176.16,69,1,2014,LILLIE JONES OSBORNE
LINDA COLEMAN MADISON,LINDA COLEMAN-MADISON,19725.31,30,1,2014,LINDA COLEMAN MADISON
LINDA HENDERSON,LINDA HENDERSON,11510.81,105,1,2014,LINDA HENDERSON
LORETTA GRANT,LORETTA GRANT,4119.93,56,1,2014,LORETTA GRANT
LOUISE ALEXANDER,LOUISE ALEXANDER,52291.38,106,1,2014,LOUISE ALEXANDER
LOWELL HADDER,LOWELL HADDER,18500.0,25,1,2014,LOWELL HADDER
LUCIE MCLEMORE,LUCIE MCLEMORE,15801.460000000001,27,1,2014,LUCIE MCLEMORE
LUTHER STRANGE,LUTHER STRANGE,2591752.66,334,1,2014,LUTHER STRANGE
M RUMSEY,M. RUMSEY,2398.97,1,1,2014,M RUMSEY
MAC MCCUTCHEON,MAC MCCUTCHEON,18352.13,80,1,2014,MAC MCCUTCHEON
MACK BUTLER,MACK BUTLER,251503.11,207,1,2014,MACK BUTLER
MARC KEAHEY,MARC KEAHEY,33998.29,125,1,2014,MARC KEAHEY
MARCEL BLACK,MARCEL BLACK,55561.97,107,1,2014,MARCEL BLACK
MARK HAMMITTE,MARK HAMMITTE,200.0,2,1,2014,MARK HAMMITTE
MARK TUGGLE,MARK TUGGLE,128068.42,166,1,2014,MARK TUGGLE
MARTHA BARBER HUMPHREY,MARTHA BARBER HUMPHREY,7118.06,19,1,2014,MARTHA BARBER HUMPHREY
MARTIN WEINBERG,MARTIN WEINBERG,43742.45,169,1,2014,MARTIN WEINBERG
MARVIN BUTTRAM,MARVIN BUTTRAM,288889.81,98,1,2014,MARVIN BUTTRAM
MARY BETTY PETERS,"MARY ""BETTY"" PETERS",16522.25,53,1,2014,MARY BETTY PETERS
MARY DEES,MARY DEES,4300.97,23,1,2014,MARY DEES
MARY MOORE,MARY MOORE,57700.85,118,1,2014,MARY MOORE
MARY PETERSON,MARY PETERSON,61475.0,44,1,2014,MARY PETERSON
