cycle,acs_vintage,chamber,district,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,feature_method,geography_validation
2026,2022,senate,5,"State Senate District 5 (2022), Alabama",135221,94466,0.1137619156787776,0.1668113395295662,0.1712645025196296,85330,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,6,"State Senate District 6 (2022), Alabama",146259,102294,0.250781148510519,0.171016872934874,0.1836048649056983,79426,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,7,"State Senate District 7 (2022), Alabama",150187,106975,0.3598314101753147,0.4249404066370647,0.4856823790550508,72533,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,8,"State Senate District 8 (2022), Alabama",149611,102979,0.1866039261818983,0.2218219248584663,0.2198635675158582,87809,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,9,"State Senate District 9 (2022), Alabama",148634,100394,0.221618203102924,0.2549156324083113,0.2666045823035686,83757,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,10,"State Senate District 10 (2022), Alabama",150296,106022,0.212001650077181,0.1595517911376884,0.1679287152269399,87424,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,11,"State Senate District 11 (2022), Alabama",148957,104479,0.2594775673516518,0.189215057571378,0.2013790509622014,79765,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,12,"State Senate District 12 (2022), Alabama",149342,102448,0.2979871703874328,0.1908285178822427,0.2089645127118644,75520,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,13,"State Senate District 13 (2022), Alabama",151173,105081,0.2976655884317967,0.1958584330183382,0.2045646884586903,75624,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,14,"State Senate District 14 (2022), Alabama",141911,93972,0.2660893094967973,0.3104648193078789,0.3214746569355219,72071,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,15,"State Senate District 15 (2022), Alabama",132318,93366,0.1647243761241856,0.5665552770815929,0.5850165907571189,79261,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,16,"State Senate District 16 (2022), Alabama",144190,97298,0.2817393716623899,0.6008139941211535,0.6510971786833856,73370,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,senate,17,"State Senate District 17 (2022), Alabama",134231,93315,0.1636432716734585,0.2279483469967315,0.2320339465317382,80833,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
