state,year,chamber,district,dem_votes,rep_votes,dem_margin
GA,2016,house,111,13542.0,14488.0,-3.3749554049232966
GA,2016,house,112,,21718.0,
GA,2016,house,113,18834.0,,
GA,2016,house,114,,22186.0,
GA,2016,house,115,,20644.0,
GA,2016,house,116,,19144.0,
GA,2016,house,117,,18374.0,
GA,2016,house,118,16223.0,,
GA,2016,house,119,,19055.0,
GA,2016,house,120,,20350.0,
GA,2016,house,121,,20582.0,
GA,2016,house,122,,26914.0,
GA,2016,house,123,,21619.0,
GA,2016,house,124,14751.0,,
GA,2016,house,125,15120.0,,
GA,2016,house,126,19051.0,,
GA,2016,house,127,15251.0,,
GA,2016,house,128,15747.0,,
GA,2016,house,129,,18206.0,
GA,2016,house,130,,16655.0,
GA,2016,house,131,,18712.0,
GA,2016,house,132,9750.0,8402.0,7.426178933450859
GA,2016,house,133,,21688.0,
GA,2016,house,134,,19445.0,
GA,2016,house,135,10991.0,,
GA,2016,house,136,16662.0,,
GA,2016,house,137,19076.0,,
GA,2016,house,138,7917.0,7661.0,1.643343176274233
GA,2016,house,139,12880.0,,
GA,2016,house,140,,16361.0,
GA,2016,house,141,,22703.0,
GA,2016,house,142,16124.0,,
GA,2016,house,143,15528.0,,
GA,2016,house,144,7305.0,15288.0,-35.333952994290264
GA,2016,house,145,8316.0,10834.0,-13.148825065274151
GA,2016,house,146,,21346.0,
GA,2016,house,147,,14923.0,
GA,2016,house,148,,15059.0,
GA,2016,house,149,,11622.0,
GA,2016,house,150,,17084.0,
GA,2016,house,151,,12675.0,
GA,2016,house,152,,20251.0,
GA,2016,house,153,14841.0,,
GA,2016,house,154,17073.0,,
GA,2016,house,155,,16499.0,
GA,2016,house,156,,15485.0,
GA,2016,house,157,,13009.0,
GA,2016,house,158,,15425.0,
GA,2016,house,159,,17513.0,
GA,2016,house,160,5292.0,12807.0,-41.521631029338636
GA,2016,house,161,,20835.0,
GA,2016,house,162,15092.0,,
GA,2016,house,163,15649.0,,
GA,2016,house,164,,14973.0,
GA,2016,house,165,18197.0,,
GA,2016,house,166,,26255.0,
GA,2016,house,167,,16871.0,
GA,2016,house,168,12939.0,,
GA,2016,house,169,,13521.0,
GA,2016,house,170,,15558.0,
GA,2016,house,171,,14662.0,
GA,2016,house,172,,12898.0,
